stationName,netType,latDD,lonDD,elev,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,pJan,pFeb,pMar,pApr,pMay,pJun,pJul,pAug,pSep,pOct,pNov,pDec,pdType,pdStartYr,pdEndYr,awc,maatmast,cntryCode,stProvCode,notes,stationID
WILLIAMSPORT,HCN,41.24,-76.92,520,22.4,23.6,32.5,50.1,61.9,71.2,68.9,71.1,67.2,47.6,41.2,33.6,4.05,0.59,2.1,2.17,3.37,4.99,1.93,2.38,2.12,1.13,1.95,2.35,actual,1895,1895,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,27.7,28.1,30.6,52.7,64.4,66.8,72.4,70.4,62.5,48.3,44.6,30.2,1.76,3.81,4.16,1.03,1.77,3.98,4.16,2.96,3.81,5.7,2.55,0.89,actual,1896,1896,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,25.4,30.6,38.9,49.6,58.9,64.1,73.4,67.1,63,53.4,42.1,33.4,1.45,2.99,3,2.25,2.85,1.85,4.77,5.83,2.99,1.68,4.96,2.94,actual,1897,1897,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,31.3,28.9,44.2,45.3,61,69.4,75,72.7,66.7,54,40.8,29.2,3.83,1.56,3.44,2.81,4.95,2.73,1.15,4.53,0.81,6.66,1.97,2.86,actual,1898,1898,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.5,23.6,35.9,50.4,62,73.5,74.7,72.5,61.9,53.2,39.6,32.4,1.46,3.71,4.36,1.71,2.36,4.25,2,3.12,2.94,1.71,4.26,4.63,actual,1899,1899,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.2,27.1,31,49.3,58.7,71.7,75.7,75.1,68.5,58.4,44.9,31.1,2.31,3.72,3.63,0.81,2.35,2.89,2.57,3.15,1.01,2.35,5.76,2.47,actual,1900,1900,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.4,21.9,38,49.7,61.6,72.3,79.6,73.2,64.5,51.5,36.1,27.5,1.4,0.66,3.63,5.57,6.34,1.88,3.29,5.18,3.21,1.59,2.59,5.86,actual,1901,1901,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,24.6,23.3,40.3,48.3,60.1,67.2,71.9,68.2,62.7,54,47.3,29,3.61,4.81,4.05,2.43,1.45,5.61,6.02,1.69,3.36,2.1,1.31,3.74,actual,1902,1902,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.9,32.1,47.9,49.7,63.2,64.2,71.2,67.3,63.3,54.9,37.6,26.6,3.95,3.24,3.96,3.67,1.88,5.84,5.05,5.05,1.43,4.22,2.33,2.85,actual,1903,1903,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,19.4,21.9,36.4,45.8,62.8,68.5,71.4,69.4,63.8,51,39.7,24.5,3.64,1.1,5.11,3.63,5.28,3.07,5.59,2.13,2.6,2.24,0.51,2.63,actual,1904,1904,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,24.8,21.3,39.7,49.9,62.4,68.8,72.7,69.9,63.9,53.8,39.5,34.5,4.55,1.01,3.61,1.65,2.09,3.13,5.95,5.78,2.95,3.18,2.38,3.77,actual,1905,1905,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,35.8,29.3,31,50.2,61,70,71.7,73.7,67.2,52.5,42.6,29.9,1.51,1.18,4.49,3.22,2.14,3.64,3.26,5.32,3.42,4.87,0.89,2.6,actual,1906,1906,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.1,22.4,41.2,44.8,55.8,64.6,72,69.3,65,48.9,40.6,32.8,3.38,0.94,2.22,2.14,2.02,7.16,1.88,0.94,4.19,2.14,2.42,4.11,actual,1907,1907,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.9,24.1,41.2,50.8,61.9,70,74.4,69.5,65.2,55.2,41.3,31.8,2.62,5.08,3.6,3.69,5.22,2.15,8.01,3.93,1.29,3.66,0.56,2.36,actual,1908,1908,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29,34.8,36.2,48.6,59.7,69.2,70.6,70.8,63.8,49,46,28.2,2.51,3.9,2.15,8.22,2.65,3.85,0.75,1.4,1.84,2.05,0.59,3.31,actual,1909,1909,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
